"","fibrillation","stroke","economic","patients","Patients","and","all_keywords"
"Ali A N et al 2015 Cost of acute stroke care.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Anonymous 2017 Ontario HTA.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Barrett-2014-Comparison of 24-hour Holter moni.pdf",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Barrett et al. Am J Med 2014.pdf",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Barrett_2014_comparisonofholtermonitoring.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Boggon R et al 2012 Resource Utilization and Outcomes.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Brachmann 2016.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Bravo-2012-Cost analysis of an implantable loo.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Burri-2013-Cost-consequence analysis of daily.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Choe_2015_A_Comparison_of_Atrial_Fibrillation_Monitoring_Str.pdf",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Ciconte-2017-Atrial fibrillation detection usi.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Conti 2017.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Da-2013-Clinical impact of the implantable loo.pdf",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Damiano 2016-Detection of atrial fibrillation after su.pdf",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Davtyan-2018-Radiofrequency versus Cryoballoon.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"de-2006-Verification of pacemaker automatic mo.pdf",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"De Asmundis-2014-Comparison of the patient-act.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Deshmukh-2016-Performance of Atrial Fibrillati.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Diamantopoulos A et al 2016 Cost effectiveness of an insertable cardiac monitor.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Eysenck et al. ReMAP. J Interv Card Electrophysiol 2019.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Fensli R et al 2010 Towards improved healthcare performance.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Giada-2007-Recurrent unexplained palpitations.pdf",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Gladstone_Appendix.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Go et al. KP-RHYTHM. JAMA 2018.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"grey1398.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Grond_2013_Improveddetectionofsilentatrialfibrilation.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Gussak I et al 2012 Wireless Remote Monitoring.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Halcox 2017.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Hanke 2009.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Hindricks 2010.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Hobbs_Arandomisedcontrolledtrialandcost-effectivenessstudyofsystema.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Hoefman-2010-Efficacy of diagnostic tools for.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Hoefman 2005.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Holloway_ASystematicreviewofcosteffectiveness.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Jabaudon_2004_Usefullessofambulatory7dayECGmonitoring.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Kaleschke-2009-Prospective, multicentre valida.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Kamalvand K et al 1997 Ambulatory patient-activated arrhythmia monitoring.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Kamel 2013.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Kamel_Cost-effectivenenssofoutpatientcardiac.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Kashiwa 2018.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Kaura2019_Article_EarlyProlongedAmbulatoryCardia 7 Aug 2019.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Kinlay S et al 1996 Cardiac Event recorders.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Kollias_AtrialFibfilationDetection.pdf",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"Lauschke J et al 2016 New Implantable cardiac monitor.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Levin-2014-A cost-effectiveness analysis of sc.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Li-2017-The impact of ischaemic stroke on atri.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Liu J et al 2010 The value of transtelephonic electrocardiogram.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Locati_2014_Roleofextendedexternallooprecordersforthediagnosis.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Luengo-Fernande-2013-Population-based study of.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Maervoet-2017-Clinical and economic value of d.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Makowska E et al 2000 Evaluation of patients with palpitations.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Mittal-2015-Safety Profile of a Miniaturized I.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Mlynarczyk_2015_SignificanceofexternalooprecordersELRindiagnosis.pdf",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Mullis et al. Heart Rhythm 2019.pdf",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Newham 2017.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"NICE-RevealLINQInsertableCardiacMonitor.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"NICE-ZioServiceForDetecting.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Nolker G et al 2016 Performance of an implantable cardiac monitor.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Overgaard-2013-The challenge of detecting atri.pdf",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Philippsen-2017-Detection of Subclinical Atria.pdf",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Piorkowski-2019-Clinical evaluation of a small.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Plummer-2001-The use of permanent pacemakers i.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Publication Summaries Mar 2019.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Quiroz-2017-Insertable cardiac monitor versus.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Reed et al. PATCH-ED. Emerg Med J 2018.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"reveal-linq-insertable-cardiac-monitor-to-detect-atrial-fibrillation-after-cryptogenic-stroke-pdf-2285963451125701.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Rinciog-2019-Cost-effectiveness of an insertab.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Ritter_OccultAtrialFibrilation.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Rockx M et al 2005 Is amulatory monitoring for community acquired syncope.pdf",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Rosenberg-2013-Use of a noninvasive continuous.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Rosenberg et al. PACE 2013.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Rothman S et al 2007 The diagnosis of cardiac arrhythmias.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Saborido_systematicreviewandcosteffectivenessevaluation.pdf",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"Sanders-2016-Performance of a new atrial fibri.pdf",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Scalvini S et al 2005 Cardiac Event Recording yields more diagnosis.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Scherr D et al 2008 Prospective Comparison of the diagnostic utility.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Schreiber et al. West J Emerg Med 2014.pdf",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Sejr 2018.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Sivakumaran S et al 2003 A Prospective randomised comparison.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Solbiati_et_al-2016-Cochrane_Database_of_Systematic_Reviews.pdf",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Stahrenberg_2010_Enhanceddetectionofparoxysmalatrialfibrilation.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Steinhubl-2018-Effect of a Home-Based Wearable.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Stewart-2004-Cost of an emerging epidemic_ an.pdf",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"Sutton-2019-COST-EFFECTIVENESS OF IMPLANTABLE.pdf",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Tan-2010-Novel electrogram device with web-bas.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Tarakji K G et al 2015 Using a novel wireless system.pdf",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Teo J. EPACS. ESOC 2017.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Tung et al. Frontiers in Neurol 2015.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Turakhia et al. Am J Cardiol 2013.pdf",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Wasserlauf_SmartwatchPerformancefortheDetection.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Welton_Screeningstrategiesforatrialfibrilation.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Witte-2018-Economic evaluation of insertable c.pdf",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Wolowacz-2011-The cost of illness of atrial fi.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Yenikomshian-2019-Cardiac arrhythmia detection.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Yenikomshian 2019 Current Medical Research and Opinion.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Yiin-2014-Age-specific incidence, outcome, cos.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Yong_Potentialcosteffectivenessofambulatorycardiac.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Yong_SupplementalData.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Zimetbaum P J et al 1998 Diagnostic Yield and Optimal duration.pdf",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"zio-service-for-detecting-cardiac-arrhythmias-pdf-2285963209260997.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
